beacon1,beacon2,beacon3,beacon4
83,70,49,79
86,69,52,76
82,69,51,88
84,71,46,80
82,70,45,81
79,69,49,75
81,70,35,74
83,71,37,81
78,71,39,75
83,72,45,71
82,72,39,74
79,71,45,70
79,72,38,75
81,71,39,83
79,71,37,69
80,72,41,78
82,72,46,78
81,71,44,77
82,71,40,75
79,72,62,70
80,71,59,79
80,71,53,77
74,69,43,74
70,88,46,76
84,69,40,79
82,69,43,83
78,69,47,72
80,70,42,85
83,71,48,78
70,42,75,86
84,71,45,76
82,70,41,79
80,71,39,76
81,70,39,81
70,53,75,77
83,70,50,82
79,71,38,86
81,73,49,79
81,71,44,78
82,73,45,77
71,51,86,76
81,71,48,86
76,72,48,76
