beacon1,beacon2,beacon3,beacon4
56,87,59,71
52,72,81,57
66,70,85,60
51,72,80,64
63,72,76,56
55,73,79,62
48,62,73,87
59,72,75,68
56,72,80,52
63,71,72,58
54,71,81,71
51,71,71,62
53,71,73,63
49,71,74,63
45,72,77,61
55,72,77,62
55,71,76,69
58,72,76,68
55,70,81,61
69,82,58,70
50,72,80,57
54,59,71,80
54,71,78,57
48,71,59,79
57,71,73,52
62,71,83,66
55,71,80,61
51,72,78,65
58,71,80,59
57,71,78,57
53,71,78,61
57,72,74,54
50,71,75,60
48,71,86,61
45,70,80,49
52,71,85,48
51,73,71,66
47,71,75,52
55,72,54,74
47,72,76,50
49,72,79,54
52,70,80,55
56,70,77,53
52,71,
