beacon1,beacon2,beacon3,beacon4
43,71,67,42
46,71,66,48
40,71,67,43
52,70,69,42
43,71,69,43
39,70,68,39
41,70,69,52
39,71,67,42
42,71,68,39
44,71,69,41
44,74,69,39
47,71,70,48
46,72,67,37
45,72,66,41
54,72,68,48
40,71,69,41
49,71,68,37
45,71,68,42
49,71,69,36
47,71,69,40
53,71,74,42
42,72,70,46
40,71,70,45
37,70,69,39
44,69,69,42
48,72,69,42
43,72,68,45
49,70,68,47
42,70,68,42
50,69,67,45
44,69,68,47
45,69,71,40
39,71,70,37
42,69,47,69
46,69,69,42
41,71,67,46
45,70,68,42
39,71,69,39
64,70,67,42
51,71,66,38
49,70,70,49
40,70,67,42
46,70,68,39
43,70,70,43
47,70,70,42
46,72,67,38
51,72,67,52
56,72,68,42
51,69,67,48
55,72,69,43
45,67,41,70
50,71,69,36
56,71,67,48
43,71,66,50
51,72,70,46
51,71,67,47
41,72,66,43
42,72,64,44
47,71,65,52
39,69,64,40
52,70,63,49
52,70,
