beacon1,beacon2,beacon3,beacon4,bin
78,71,35,65,1
79,70,37,62,1
75,69,37,60,1
82,70,38,62,1
80,71,34,70,1
80,70,38,72,1
77,72,35,65,1
83,72,40,61,1
80,74,33,63,1
82,72,35,63,1
76,70,34,60,1
70,35,61,78,1
72,34,58,83,1
76,71,37,58,1
83,71,35,69,1
70,35,61,81,1
82,71,39,59,1
82,71,39,66,1
84,71,42,69,1
75,71,38,77,1
81,71,43,72,1
78,71,37,76,1
76,71,55,76,1
81,70,51,67,1
80,69,37,63,1
82,70,42,63,1
74,71,38,64,1
81,70,39,61,1
78,70,40,66,1
76,70,34,67,1
83,70,49,79,2
86,69,52,76,2
82,69,51,88,2
84,71,46,80,2
82,70,45,81,2
79,69,49,75,2
81,70,35,74,2
83,71,37,81,2
78,71,39,75,2
83,72,45,71,2
82,72,39,74,2
79,71,45,70,2
79,72,38,75,2
81,71,39,83,2
79,71,37,69,2
80,72,41,78,2
82,72,46,78,2
81,71,44,77,2
82,71,40,75,2
79,72,62,70,2
80,71,59,79,2
80,71,53,77,2
74,69,43,74,2
70,88,46,76,2
84,69,40,79,2
82,69,43,83,2
78,69,47,72,2
80,70,42,85,2
83,71,48,78,2
70,42,75,86,2
84,71,45,76,2
82,70,41,79,2
80,71,39,76,2
81,70,39,81,2
70,53,75,77,2
83,70,50,82,2
79,71,38,86,2
81,73,49,79,2
81,71,44,78,2
82,73,45,77,2
71,51,86,76,2
81,71,48,86,2
76,72,48,76,2
82,71,42,74,3
77,72,42,75,3
80,72,45,77,3
84,72,63,79,3
76,73,50,75,3
79,73,50,82,3
77,72,43,83,3
88,73,53,80,3
72,73,49,75,3
74,71,46,80,3
83,72,45,69,3
82,71,58,70,3
80,70,43,74,3
83,71,42,82,3
77,71,52,78,3
78,72,47,75,3
76,71,51,79,3
76,70,47,75,3
88,70,50,77,3
76,70,44,80,3
77,70,47,78,3
84,71,50,80,3
82,69,63,82,3
81,71,48,73,3
76,69,45,84,3
86,70,45,82,3
81,69,46,79,3
86,72,57,82,3
81,71,45,76,3
76,71,51,84,3
81,71,74,81,3
80,72,50,78,3
74,69,53,82,3
74,71,45,81,3
78,71,47,80,3
77,71,43,83,3
71,81,51,84,3
70,51,79,85,3
83,71,48,79,3
79,69,51,81,3
77,69,51,78,3
79,72,67,71,3
81,71,51,77,3
77,73,63,83,3
73,71,57,79,3
84,72,49,78,3
78,73,55,84,3
76,72,52,81,3
72,72,49,79,3
74,73,53,78,3
75,73,54,84,3
83,71,50,84,4
79,71,49,83,4
72,51,89,81,4
73,72,54,81,4
80,73,57,79,4
80,73,51,81,4
86,72,48,81,4
81,71,64,89,4
86,70,53,85,4
78,72,55,78,4
76,72,54,78,4
82,71,46,83,4
77,69,51,77,4
76,70,44,77,4
76,71,49,84,4
82,70,49,79,4
76,70,51,81,4
80,70,49,81,4
76,71,50,80,4
72,70,54,77,4
80,69,46,87,4
69,71,57,77,4
75,73,44,84,4
73,71,47,84,4
72,70,53,82,4
73,70,53,85,4
75,72,53,75,4
81,73,48,83,4
81,71,45,84,4
76,72,50,79,4
81,71,51,77,4
71,71,42,81,4
71,72,49,77,4
73,73,48,81,4
75,71,46,81,4
71,71,55,81,4
67,71,47,80,4
75,73,57,76,4
64,72,51,81,4
69,75,60,78,4
75,73,48,84,4
70,73,51,79,4
67,72,52,84,4
63,71,60,75,4
75,72,49,77,4
63,71,62,72,4
61,71,48,72,4
59,70,61,77,4
61,71,50,79,4
69,71,48,71,4
58,71,49,77,4
57,70,57,88,4
63,70,46,79,4
63,69,47,70,4
60,68,55,72,4
61,72,48,75,4
59,71,,4
79,70,51,73,5
75,69,49,80,5
82,71,46,83,5
74,69,51,79,5
65,69,48,70,5
64,69,50,73,5
60,69,36,67,5
59,69,38,69,5
69,70,41,74,5
68,69,41,72,5
70,69,42,68,5
71,69,45,78,5
64,69,43,67,5
64,70,42,68,5
64,72,42,73,5
63,70,48,69,5
66,69,47,76,5
74,68,46,73,5
76,69,42,75,5
70,69,52,71,5
68,68,54,77,5
67,69,52,77,5
60,71,48,67,5
66,69,43,70,5
57,69,49,67,5
60,69,43,79,5
65,69,49,78,5
59,68,47,73,5
72,69,51,73,5
63,69,50,65,5
64,69,46,72,5
70,69,52,71,5
79,69,57,74,5
68,69,54,64,5
67,69,52,65,5
76,69,55,70,5
71,70,49,71,5
67,69,58,69,5
61,69,54,68,5
60,69,48,75,5
69,68,50,64,5
68,69,61,73,5
59,69,49,72,5
64,68,57,75,5
63,54,69,75,5
64,72,49,75,6
60,73,51,79,6
62,73,49,73,6
64,70,61,73,6
70,71,54,77,6
69,71,69,77,6
63,71,51,86,6
61,71,63,80,6
66,73,60,69,6
62,74,62,74,6
74,72,55,81,6
69,73,59,76,6
67,75,55,77,6
67,74,56,70,6
67,75,63,73,6
68,74,56,76,6
67,75,57,78,6
64,73,62,73,6
60,73,53,84,6
64,72,66,83,6
62,64,79,73,6
66,74,66,73,6
63,72,57,69,6
72,71,59,72,6
66,73,59,71,6
69,72,57,69,6
67,74,58,72,6
76,71,59,69,6
61,71,72,76,6
72,71,57,77,6
64,72,61,76,6
62,72,72,73,6
66,72,68,73,6
60,73,62,75,6
62,73,63,77,6
72,72,59,70,6
62,71,58,75,6
66,71,55,77,6
60,73,64,67,6
60,75,58,70,6
63,70,55,72,7
61,71,57,74,7
63,69,66,80,7
64,69,70,86,7
68,69,54,73,7
68,69,53,75,7
67,69,62,76,7
70,69,57,70,7
66,68,59,71,7
72,69,54,72,7
66,69,63,77,7
63,69,59,65,7
67,73,60,78,7
61,69,58,72,7
63,72,55,67,7
66,70,57,72,7
66,73,61,79,7
62,70,65,64,7
69,72,59,76,7
63,70,70,69,7
67,69,61,76,7
59,69,58,73,7
58,70,61,64,7
57,72,56,67,7
66,72,73,72,7
67,73,63,70,7
65,72,58,70,7
69,73,72,70,7
65,71,60,72,7
82,72,59,80,7
84,71,63,75,7
71,71,61,74,7
61,70,55,69,7
63,71,69,82,7
76,72,64,70,7
59,72,65,78,7
69,71,65,69,7
61,72,67,67,7
63,72,58,72,7
82,72,62,72,7
72,72,66,73,7
68,72,76,72,7
60,72,64,87,7
69,72,65,74,7
61,71,61,70,7
58,72,61,76,7
57,71,62,65,7
66,71,71,77,7
67,71,66,69,7
63,70,65,79,7
63,72,78,75,7
60,71,62,62,7
63,69,70,78,7
62,70,63,74,7
67,72,57,72,8
73,72,57,75,8
63,71,71,67,8
60,71,63,68,8
51,72,75,62,8
57,71,68,74,8
60,71,63,71,8
71,71,69,72,8
65,71,69,69,8
63,70,58,81,8
73,72,69,71,8
66,71,61,72,8
60,71,64,68,8
67,71,74,74,8
67,71,59,68,8
57,71,63,69,8
55,71,62,73,8
54,71,67,72,8
65,72,65,75,8
66,71,59,73,8
59,72,61,72,8
63,73,63,73,8
62,72,63,74,8
61,72,60,64,8
57,72,64,66,8
61,72,64,85,8
56,72,67,66,8
55,73,69,71,8
57,74,61,69,8
55,73,65,69,8
65,72,66,68,8
60,73,68,66,8
69,72,66,75,8
63,72,73,72,8
64,71,67,68,8
65,70,67,75,8
60,70,58,73,8
66,72,61,73,8
55,70,74,63,8
59,71,68,70,8
63,71,74,70,8
57,71,67,77,8
63,69,73,66,8
67,71,65,76,8
69,71,63,68,8
70,71,64,69,8
66,70,67,68,8
60,72,66,83,8
65,72,66,67,8
64,70,63,67,8
63,71,71,66,8
68,71,61,70,8
63,72,69,66,8
76,71,60,66,8
76,73,63,63,8
65,73,64,68,8
74,75,58,66,8
63,75,64,75,8
63,75,63,83,8
73,73,68,59,9
62,73,67,62,9
59,72,70,60,9
59,72,64,63,9
57,72,71,70,9
71,71,59,77,9
57,72,62,65,9
55,72,66,66,9
56,72,66,69,9
59,72,64,64,9
61,71,65,68,9
73,74,71,72,9
69,72,67,73,9
67,73,73,66,9
61,73,66,61,9
60,69,62,65,9
72,73,71,63,9
55,72,76,60,9
60,71,77,67,9
62,71,61,73,9
69,71,69,63,9
64,71,63,59,9
66,71,72,67,9
69,70,73,73,9
63,71,69,73,9
61,70,70,67,9
61,71,68,69,9
53,67,64,70,9
61,71,66,78,9
63,72,69,69,9
74,72,67,71,9
57,70,70,67,9
61,73,63,65,9
57,72,63,65,9
54,73,61,71,9
71,73,66,68,9
57,72,72,61,9
63,74,66,75,9
57,72,68,78,9
58,71,65,68,9
76,69,66,68,9
59,71,63,61,9
56,70,74,69,9
63,72,68,78,9
63,73,67,64,9
59,71,70,64,9
61,71,70,67,9
68,71,69,64,9
58,72,69,69,9
63,72,76,63,9
64,70,63,74,9
53,72,71,61,9
62,72,73,61,9
63,71,68,61,9
60,71,74,77,9
64,71,84,63,9
56,71,68,65,9
60,71,76,61,9
62,70,69,60,9
57,69,82,73,10
64,71,79,69,10
71,74,71,68,10
62,72,68,76,10
57,72,65,63,10
62,71,77,70,10
64,76,77,70,10
59,73,71,71,10
